Children and Family Court Advisory and Support Service,childrenAndFamilyCourtAdvisoryAndSupportService,Children and Family Court Advisory and Support Service,,
Judicial Appointments Commission,judicialAppointmentsCommission,Judicial Appointments Commission,,
Legal aid suppliers,laa.legalAidSuppliers,LAA,,
Case information,laa.caseInformation,LAA,,
Client details,laa.clientDetails,LAA,,
expenditure,laa.expenditure,LAA,,
means assessment results,laa.meansAssessment,LAA,,
debt,laa.debt,LAA,debtCollectionAgencies,
case work - global,laa.caseWorkGlobal,LAA,"hmcts.cases, costsDraftsmen, dwp.benefits",
case work local,laa.caseWorkLocal,LAA,"hmcts.cases, costsDraftsmen, dwp.benefits",
Legal Services Board,legalServicesBoard,Legal Services Board,,
Local Authorities,localAuthorities,Local Authorities,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders, NHS, youthOffendingTeams",
Motor insurance cover,motorInsuranceBureau.motorInsuranceCover,Motor Insurance Bureau,police,
NHS,NHS,NHS,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders,youthOffendingTeams, localAuthorities",
Serious Fraud Office ,otherProsecutingAuthorities.seriousFraudOffice,Other prosecuting bodies,otherProsecutingAuthorities,
HMRC,otherProsecutingAuthorities.HMRC,Other prosecuting bodies,otherProsecutingAuthorities,
Crown Office in Scotland,otherProsecutingAuthorities.crownOfficeInScotland,Other prosecuting bodies,otherProsecutingAuthorities,
Public Prosecution Service (DPPNI),otherProsecutingAuthorities.publicProsecutionService,Other prosecuting bodies,otherProsecutingAuthorities,
Post Office,otherProsecutingAuthorities.postOffice,Other prosecuting bodies,otherProsecutingAuthorities,
RSPCA,otherProsecutingAuthorities.RSPCA,Other prosecuting bodies,otherProsecutingAuthorities,
BEIS (Company fraud),otherProsecutingAuthorities.BEIS,Other prosecuting bodies,otherProsecutingAuthorities,
Medicines control,otherProsecutingAuthorities.medicinesControl,Other prosecuting bodies,otherProsecutingAuthorities,
Parole Board,paroleBoard,Parole Board,,
bail,police.national.bail,Police,,
Convictions,police.convictions,Police,,
Vehicles used in crime (not fed to DVLA),police.commandAndControl.vehiclesUsedInCrime,Police,,
Collisions,police.collisions,Police,,
suspect risk,police.commandAndControl.suspectRisk,Police,,
notes,police.commandAndControl.notes,Police,,
Arrest Details,police.arrestDetails,Police,,
substance testing,police.substanceTesting,Police,,
victim impact statement,victim impact statement,Police,cps,
Written statements,police.commandAndControl.writtenStatements,Police,"defenseFirms, laa.caseInformation",
Defendent interview,police.commandAndControl.defendentInterview,Police,laa.caseInformation,
Identity of arrested persons - biographics,police.arrestedPersonsID.biographics,Police,"police.commandAndControl, visaAndImmigration.immigrationStatusBiographics, visaAndImmigration.asylumStatusBiographics, visaAndImmigration.visaStatusBiographics, borderForce",
Identities at crime scenes- biometric,police.arrestedPersonsID.biometrics,Police,"police.commandAndControl, visaAndImmigration.immigrationStatusBiometrics, visaAndImmigration.asylumStatusBiometrics, visaAndImmigration.visaStatusBiometrics, borderForce",
Disposals,police.national.disposals,Police,police.arrestedPersonsID.biometrics,
Events,police.events,Police,police.commandAndControl,
Disqualified drivers ,police.national.disqualifiedDrivers,Police,dvla,
Property ,police.commandAndControl.property ,Police,"dvla, hmpo",
999,police.999,Police,police.events,
missing,police.missing,Police,police.events,
Wanted,police.wanted,Police,"police.events, borderForce, european.SISII, european.E427, european.alerts, european.persons, european.property, european.travelDocuments",
multimedia evidence,police.multimediaEvidence,Police ,,
Biometric interface ,police.national.biometricInterface ,Police ,,
Intelligence systems,police.intelligenceSystems,Police ,police.national,
Case & custody records,police.national.caseAndCustodyRecords,Police ,police.national.custody,
Custody images,police.national.custodyImages,Police ,police.national.caseAndCustodyRecords,
Crime,police.national.crime,Police,,
Child abuse,police.national.childAbuse,Police,,
Domestic abuse,police.national.domesticAbuse,Police,,
Intelligence,police.national.intelligence,Police,,
Custody,police.national.custody,Police,,
cases,publicDefenderService.cases,public defender service,laa.caseWorkGlobal,
secure children's homes,secureChildrensHomes,secure children's homes,"youthOffendingInstitutions, youthOffendingTeams, secureTrainingCentres, yjb.case, educationProviders, NHS, localAuthorities",
secure training centres,secureTrainingCentres,secure training centres,"youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, yjb.case, educationProviders, NHS, localAuthorities",
Staff vetting (govt agencies and external orgs),securityIndustryAuthority.staffVetting,Security Industry Authority,,
UK Immigration ,securityIndustryAuthority.UKImmigration,Security Industry Authority,"visaAndImmigration.inOutUK, borderForce",
In/ Out UK,visaAndImmigration.inOutUK,VisaAndImmigration,,
Immigration Status Biographics,visaAndImmigration.immigrationStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,
Asylum Status Biographics,visaAndImmigration.asylumStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,
Visa Status Biographics,visaAndImmigration.visaStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,
Immigration Status Biometrics,visaAndImmigration.immigrationStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,
Asylum Status Biometrics,visaAndImmigration.asylumStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,
Visa Status Biometrics,visaAndImmigration.visaStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,
intelligence,yjb.case.intelligence,YJB,,
offences,yjb.case.offences,YJB,,
Court Hearings ,yjb.case.courtHearings ,YJB,,
placements,yjb.case.placements,YJB,,
assessments,yjb.case.assessments,YJB,,
interventions,yjb.case.interventions,YJB,,
health,yjb.case.health,YJB,,
Contract management and monitoring,yjb.contractManagementAndMonitoring,YJB,,
MI,yjb.MI,YJB,,
Minimising and Managing Physical Restraint (MMPR),yjb.minimisingAndManagingPhysicalRestraint,YJB,,
Quarterly YOT submissions,yjb.quarterlyYOTSubmissions,YJB,,
Sentence & risk management,yjb.sentenceAndRiskManagement,YJB,"hmpps, police",
Convictions & preventions,yjb.convictionsAndPreventions,YJB,"hmpps, police",
Serious incidents in the community,yjb.seriousIncidentsInTheCommunity,YJB,"hmpps, police",
Case management data ,yjb.case,YJB,"hmpps, police, youthOffendingInstitutions, youthOffendingTeams, secureChildrensHomes, secureTrainingCentres",
Youth Offending Institution,youthOffendingInstitutions,Youth Offending Institution,"youthOffendingTeams, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders, NHS, localAuthorities",
Youth Offending Team,youthOffendingTeams,Youth Offending Team,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders, NHS, localAuthorities",
Border Force,borderForce,,,
Driver retraining,police.driverRetraining,,,
Footwear,police.footwear,,,
Ballistics,police.ballistics,,,
child abuse images,police.childAbuseImages,,,
Warnings Index and Control Unit,warningsIndexAndControlUnit,,,
Debt Collection Agencies,debtCollectionAgencies,,,
Other Prosecuting Authorities,otherProsecutingAuthorities,,,
Defense Firms,defenseFirms,Defense Firms,laa.caseInformation,
Age UK,ageUK,Age UK,,
Forced Marriage Unit,homeOffice.forcedMarriageUnit,Home Office,,
banks,banks,Banks,,
investigations,officeOfThePublicGuardian.investigations,Office of the Public Guardian,banks,
Solicitors Regulatory Authority,solicitorsRegulatoryAuthority,Solicitors Regulatory Authority,,
Financial Conduct Authority,financialConductAuthority,Financial Conduct Authority,,
legal powers of attorney,officeOfThePublicGuardian.legalPowersOfAttorney,Office of the Public Guardian,"hmcts.cases, dwp.benefits, homeOffice.forcedMarriageUnit, solicitorsRegulatoryAuthority, financialConductAuthority, ageUK, officeOfThePublicGuardian.investigations",
deputyships,officeOfThePublicGuardian.deputyships,Ofice of the Public Guardian,"hmcts.cases, dwp.benefits, homeOffice.forcedMarriageUnit, solicitorsRegulatoryAuthority, financialConductAuthority, ageUK, bondProviders, officeOfThePublicGuardian.investigations",
documents,officeOfThePublicGuardian.documents,Office of the Public Guardian,"officeOfThePublicGuardian.deputyships, officeOfThePublicGuardian.legalPowersOfAttorney",
bond providers,bondProviders,Bond Providers,officeOfThePublicGuardian.deputyships,
